zip,street,units,type,url_addr,file_no
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/44-sequoia-tree-ln-irvine-ca-92612--2081024418,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/46-sequoia-tree-ln-irvine-ca-92612--1001921730,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/48-sequoia-tree-ln-irvine-ca-92612--2081024702,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/50-sequoia-tree-ln-irvine-ca-92612--2081025066,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/52-sequoia-tree-ln-irvine-ca-92612--2081025226,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/54-sequoia-tree-ln-irvine-ca-92612--1002880441,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/56-sequoia-tree-ln-irvine-ca-92612--2081025360,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/58-sequoia-tree-ln-irvine-ca-92612--1013154185,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/60-sequoia-tree-ln-irvine-ca-92612--2081025595,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/62-sequoia-tree-ln-irvine-ca-92612--1002036124,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/64-sequoia-tree-ln-irvine-ca-92612--2081025685,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/66-sequoia-tree-ln-irvine-ca-92612--2081025730,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/68-sequoia-tree-ln-irvine-ca-92612--2081025773,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/70-sequoia-tree-ln-irvine-ca-92612--2081025944,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/72-sequoia-tree-ln-irvine-ca-92612--1001965138,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/74-sequoia-tree-ln-irvine-ca-92612--2081026019,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/76-sequoia-tree-ln-irvine-ca-92612--2081026051,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/78-sequoia-tree-ln-irvine-ca-92612--2081026084,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/80-sequoia-tree-ln-irvine-ca-92612--2081026264,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/82-sequoia-tree-ln-irvine-ca-92612--2081026326,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/84-sequoia-tree-ln-irvine-ca-92612--2081026343,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/86-sequoia-tree-ln-irvine-ca-92612--2081026365,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/88-sequoia-tree-ln-irvine-ca-92612--2081026388,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/90-sequoia-tree-ln-irvine-ca-92612--2081026529,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/92-sequoia-tree-ln-irvine-ca-92612--2081026549,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/94-sequoia-tree-ln-irvine-ca-92612--1060018425,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/96-sequoia-tree-ln-irvine-ca-92612--2081026589,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/98-sequoia-tree-ln-irvine-ca-92612--2081026612,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/100-sequoia-tree-ln-irvine-ca-92612--2081019113,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/102-sequoia-tree-ln-irvine-ca-92612--2081019131,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/104-sequoia-tree-ln-irvine-ca-92612--2081019148,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/106-sequoia-tree-ln-irvine-ca-92612--2081019162,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/108-sequoia-tree-ln-irvine-ca-92612--2081019176,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/110-sequoia-tree-ln-irvine-ca-92612--2081019301,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/112-sequoia-tree-ln-irvine-ca-92612--1017501018,3 of 4
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/p/ca/irvine/114-sequoia-tree-ln-irvine-ca-92612--2081019344,3 of 4
