zip,street,units,type,url_addr,file_no
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/43-calavera-irvine-ca-92606--2081014407,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/44-calavera-irvine-ca-92606--1007998089,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/45-calavera-irvine-ca-92606--1001994110,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/46-calavera-irvine-ca-92606--2081014506,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/48-calavera-irvine-ca-92606--2081014563,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/50-calavera-irvine-ca-92606--2081014684,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/52-calavera-irvine-ca-92606--2081014727,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/54-calavera-irvine-ca-92606--2081014756,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/56-calavera-irvine-ca-92606--2081014781,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/58-calavera-irvine-ca-92606--2081014807,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/59-calavera-irvine-ca-92606--2081014815,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/60-calavera-irvine-ca-92606--2081014901,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/61-calavera-irvine-ca-92606--2081014919,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/62-calavera-irvine-ca-92606--2081014933,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/63-calavera-irvine-ca-92606--2081014950,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/64-calavera-irvine-ca-92606--2081014958,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/65-calavera-irvine-ca-92606--2081014965,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/66-calavera-irvine-ca-92606--1059095469,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/68-calavera-irvine-ca-92606--2081014989,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/70-calavera-irvine-ca-92606--2081015094,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/72-calavera-irvine-ca-92606--2081015125,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/74-calavera-irvine-ca-92606--2081015144,2 of 4
92606,Calavera,53,Single Family,https://www.trulia.com/p/ca/irvine/76-calavera-irvine-ca-92606--2081015156,2 of 4
92606,Marsala,52,Single Family,https://www.trulia.com/p/ca/irvine/1-marsala-irvine-ca-92606--2081012055,2 of 4
92606,Marsala,52,Single Family,https://www.trulia.com/p/ca/irvine/2-marsala-irvine-ca-92606--2081012871,2 of 4
92606,Marsala,52,Single Family,https://www.trulia.com/p/ca/irvine/3-marsala-irvine-ca-92606--2081014203,2 of 4
