zip,street,units,type,url
92618,Triana,38,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Triana/
92618,Preston,37,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Preston/
92618,Modena,36,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Modena/
92618,Cunningham,34,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Cunningham/
92618,Gray Dove,34,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Gray_Dove/
92618,Pembroke,34,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Pembroke/
92618,Sutton,33,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Sutton/
92618,Yellow Daisy,33,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Yellow_Daisy/
92620,Monticello,73,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Monticello/
92620,Field Poppy,61,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Field_Poppy/
92620,Bennington,58,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Bennington/
92620,Diamante,56,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Diamante/
92620,Carson,52,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Carson/
92620,Statuary,52,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Statuary/
92620,Wheeler,51,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Wheeler/
92620,Marblehead,50,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Marblehead/
92620,New Dawn,50,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/New_Dawn/
92620,Garden Gate Ln,49,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Garden_Gate_Ln/
92657,Bridgeport Rd,47,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Bridgeport_Rd/
92657,Renata,42,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Renata/
92657,Archipelago Dr,39,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Archipelago_Dr/
92657,Marisol,37,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Marisol/
92657,Clermont,36,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Clermont/
92657,Vernon,35,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Vernon/
92657,Avignon,34,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Avignon/
92657,Castellina Dr,34,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Castellina_Dr/
92657,Harcourt,30,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Harcourt/
92657,Coral Reef,29,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Coral_Reef/
92679,Highridge Way,111,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92679/Highridge_Way/
92679,Via Coyote,90,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92679/Via_Coyote/
92679,Jasper Hill Rd,84,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92679/Jasper_Hill_Rd/
92679,Via Candelaria,79,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92679/Via_Candelaria/
92679,Mill Stream Rd,72,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92679/Mill_Stream_Rd/
92679,Frontier St,69,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92679/Frontier_St/
92679,Dornoch Way,68,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92679/Dornoch_Way/
92679,Porter Ranch Rd,64,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92679/Porter_Ranch_Rd/
92679,Panorama,63,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92679/Panorama/
92679,Gingham St,62,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92679/Gingham_St/
92782,Sonora St,77,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92782/Sonora_St/
92782,Georgia St,55,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92782/Georgia_St/
92782,Arborwalk Ln,53,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92782/Arborwalk_Ln/
92782,Severyns Rd,48,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92782/Severyns_Rd/
92782,Charleston St,45,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92782/Charleston_St/
92782,Madison St,43,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92782/Madison_St/
92782,Voyager Dr,43,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92782/Voyager_Dr/
92782,Wickshire Ln,39,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92782/Wickshire_Ln/
92782,Allen,35,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92782/Allen/
92782,Bruns Dr,35,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92782/Bruns_Dr/
