zip,street,units,type,url
92602,Linhaven,46,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92602/Linhaven/
92602,Asbury,45,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92602/Asbury/
92602,Copper Mine,44,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92602/Copper_Mine/
92602,Legacy Way,43,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92602/Legacy_Way/
92602,Granada,41,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92602/Granada/
92602,Copper Leaf,39,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92602/Copper_Leaf/
92602,Calais,38,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92602/Calais/
92602,Valente,38,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92602/Valente/
92602,Appleglen Dr,37,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92602/Appleglen_Dr/
92602,Long Fence,37,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92602/Long_Fence/
92603,Weathervane,62,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92603/Weathervane/
92603,Treehouse,59,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92603/Treehouse/
92603,Sierra Siena Rd,54,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92603/Sierra_Siena_Rd/
92603,Canyon Crk,52,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92603/Canyon_Crk/
92603,Silver Cres,51,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92603/Silver_Cres/
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92603/Paseo_De_Vega/
92603,Hillgrass,45,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92603/Hillgrass/
92603,Vernal Spg,42,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92603/Vernal_Spg/
92603,Bethany Dr,41,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92603/Bethany_Dr/
92603,Sunlight,40,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92603/Sunlight/
92604,Manzanita,58,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92604/Manzanita/
92604,Barkwood Ave,55,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92604/Barkwood_Ave/
92604,Bluejay,55,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92604/Bluejay/
92604,Sparrowhawk,54,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92604/Sparrowhawk/
92604,Meadowgrass,50,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92604/Meadowgrass/
92604,Red Rock,50,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92604/Red_Rock/
92604,Shadowbrook,48,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92604/Shadowbrook/
92604,Golden Star,46,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92604/Golden_Star/
92604,Oakdale,46,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92604/Oakdale/
92604,Shooting Star,45,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92604/Shooting_Star/
92606,Carmel Ave,61,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92606/Carmel_Ave/
92606,Calavera,53,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92606/Calavera/
92606,Marsala,52,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92606/Marsala/
92606,La Ronda,51,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92606/La_Ronda/
92606,Festivo,49,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92606/Festivo/
92606,Washington,49,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92606/Washington/
92606,Blackthorn St,44,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92606/Blackthorn_St/
92606,Del Cambrea,44,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92606/Del_Cambrea/
92606,Avanzare,43,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92606/Avanzare/
92606,Del Ventura,42,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92606/Del_Ventura/
92606,Pecan St,41,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92606/Pecan_St/
92610,Parrell Ave,76,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92610/Parrell_Ave/
92610,Carriage Dr,69,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92610/Carriage_Dr/
92610,Monserrat Pl,69,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92610/Monserrat_Pl/
92610,Blazewood,68,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92610/Blazewood/
92610,Avignon Ave,61,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92610/Avignon_Ave/
92610,Primrose Dr,58,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92610/Primrose_Dr/
92610,Tavella Pl,58,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92610/Tavella_Pl/
92610,Fairfield,57,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92610/Fairfield/
92610,Montecilo,57,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92610/Montecilo/
92610,Calle Cabrillo,52,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92610/Calle_Cabrillo/
92610,Tessera Ave,52,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92610/Tessera_Ave/
92612,Seton Rd,86,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92612/Seton_Rd/
92612,Oak Tree Ln,72,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92612/Oak_Tree_Ln/
92612,Willow Tree Ln,71,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92612/Willow_Tree_Ln/
92612,Acacia Tree Ln,70,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92612/Acacia_Tree_Ln/
92612,Sandburg Way,65,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92612/Sandburg_Way/
92612,Sequoia Tree Ln,62,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92612/Sequoia_Tree_Ln/
92612,Mann St,59,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92612/Mann_St/
92612,Gillman St,58,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92612/Gillman_St/
92612,Willowbend,46,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92612/Willowbend/
92612,Almond Tree Ln,43,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92612/Almond_Tree_Ln/
92614,Claremont St,66,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92614/Claremont_St/
92614,Silkberry,52,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92614/Silkberry/
92614,Racing Wind,51,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92614/Racing_Wind/
92614,Hamilton St,47,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92614/Hamilton_St/
92614,Finisterra,46,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92614/Finisterra/
92614,Hendrix St,44,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92614/Hendrix_St/
92614,Emerald,43,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92614/Emerald/
92614,Manchester Ave,42,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92614/Manchester_Ave/
92614,Barcelona,41,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92614/Barcelona/
92614,Fenn St,35,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92614/Fenn_St/
92618,Coyote Brush,49,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Coyote_Brush/
92618,Ashford,48,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Ashford/
92618,Kelsey,39,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Kelsey/
92618,Triana,38,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Triana/
92618,Preston,37,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Preston/
92618,Modena,36,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Modena/
92618,Cunningham,34,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Cunningham/
92618,Gray Dove,34,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Gray_Dove/
92618,Pembroke,34,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Pembroke/
92618,Sutton,33,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Sutton/
92618,Yellow Daisy,33,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92618/Yellow_Daisy/
92620,Monticello,73,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Monticello/
92620,Field Poppy,61,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Field_Poppy/
92620,Bennington,58,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Bennington/
92620,Diamante,56,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Diamante/
92620,Carson,52,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Carson/
92620,Statuary,52,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Statuary/
92620,Wheeler,51,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Wheeler/
92620,Marblehead,50,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Marblehead/
92620,New Dawn,50,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/New_Dawn/
92620,Garden Gate Ln,49,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92620/Garden_Gate_Ln/
92657,Bridgeport Rd,47,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Bridgeport_Rd/
92657,Renata,42,Single Family,https://www.trulia.com/property-sitemap/CA/Orange-County-06059/92657/Renata/
