zip,street,units,type,url_addr,file_no
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/24-wheeler-irvine-ca-92620--2081056404,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/25-wheeler-irvine-ca-92620--2081056601,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/26-wheeler-irvine-ca-92620--2081056808,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/28-wheeler-irvine-ca-92620--2081057132,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/30-wheeler-irvine-ca-92620--2081057712,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/31-wheeler-irvine-ca-92620--2081057883,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/32-wheeler-irvine-ca-92620--2081058066,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/33-wheeler-irvine-ca-92620--2081058252,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/34-wheeler-irvine-ca-92620--2081058393,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/35-wheeler-irvine-ca-92620--2081058531,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/36-wheeler-irvine-ca-92620--2081058653,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/37-wheeler-irvine-ca-92620--1042548013,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/38-wheeler-irvine-ca-92620--2081058896,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/39-wheeler-irvine-ca-92620--2081059015,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/40-wheeler-irvine-ca-92620--2081059421,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/41-wheeler-irvine-ca-92620--1056380690,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/42-wheeler-irvine-ca-92620--2081059735,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/44-wheeler-irvine-ca-92620--2081059928,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/46-wheeler-irvine-ca-92620--1019280448,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/48-wheeler-irvine-ca-92620--2081060316,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/50-wheeler-irvine-ca-92620--2081060767,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/52-wheeler-irvine-ca-92620--2081061563,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/54-wheeler-irvine-ca-92620--2081061816,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/56-wheeler-irvine-ca-92620--2081062066,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/58-wheeler-irvine-ca-92620--2081062273,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/60-wheeler-irvine-ca-92620--2081062707,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/62-wheeler-irvine-ca-92620--2081062957,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/64-wheeler-irvine-ca-92620--2081063199,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/66-wheeler-irvine-ca-92620--2081063405,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/68-wheeler-irvine-ca-92620--1001989464,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/70-wheeler-irvine-ca-92620--2081063932,4 of 4
92620,Wheeler,51,Single Family,https://www.trulia.com/p/ca/irvine/72-wheeler-irvine-ca-92620--2081064113,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/20-marblehead-irvine-ca-92620--2081055278,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/22-marblehead-irvine-ca-92620--2081055860,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/24-marblehead-irvine-ca-92620--2081056346,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/26-marblehead-irvine-ca-92620--2081056747,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/27-marblehead-irvine-ca-92620--2081056924,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/28-marblehead-irvine-ca-92620--2081057077,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/29-marblehead-irvine-ca-92620--2081057249,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/30-marblehead-irvine-ca-92620--2081057657,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/34-marblehead-irvine-ca-92620--2081058350,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/36-marblehead-irvine-ca-92620--2081058606,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/40-marblehead-irvine-ca-92620--2081059378,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/42-marblehead-irvine-ca-92620--2081059692,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/46-marblehead-irvine-ca-92620--2081060089,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/48-marblehead-irvine-ca-92620--2081060285,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/50-marblehead-irvine-ca-92620--2081060711,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/52-marblehead-irvine-ca-92620--2081061516,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/54-marblehead-irvine-ca-92620--2081061765,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/56-marblehead-irvine-ca-92620--1048851257,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/58-marblehead-irvine-ca-92620--2081062225,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/60-marblehead-irvine-ca-92620--2081062664,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/62-marblehead-3cr-irvine-ca-92620--2325160336,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/64-marblehead-irvine-ca-92620--1051290927,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/66-marblehead-irvine-ca-92620--2081063363,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/68-marblehead-irvine-ca-92620--2081063539,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/70-marblehead-irvine-ca-92620--2081063897,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/72-marblehead-irvine-ca-92620--1059295572,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/74-marblehead-irvine-ca-92620--2081064248,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/76-marblehead-irvine-ca-92620--2081064409,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/78-marblehead-irvine-ca-92620--1059519531,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/80-marblehead-irvine-ca-92620--1004330081,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/82-marblehead-irvine-ca-92620--2081065098,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/84-marblehead-irvine-ca-92620--2081065247,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/86-marblehead-irvine-ca-92620--2081065372,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/88-marblehead-irvine-ca-92620--2081065477,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/90-marblehead-irvine-ca-92620--1147795813,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/92-marblehead-irvine-ca-92620--2081065924,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/94-marblehead-irvine-ca-92620--2081066013,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/96-marblehead-irvine-ca-92620--2081066105,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/98-marblehead-irvine-ca-92620--2081066211,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/100-marblehead-irvine-ca-92620--2081050584,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/102-marblehead-irvine-ca-92620--2081050845,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/104-marblehead-irvine-ca-92620--1054293673,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/106-marblehead-irvine-ca-92620--2081050985,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/107-marblehead-irvine-ca-92620--2081051024,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/108-marblehead-irvine-ca-92620--2081051056,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/109-marblehead-irvine-ca-92620--2081051087,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/110-marblehead-irvine-ca-92620--2081051340,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/112-marblehead-irvine-ca-92620--2081051438,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/114-marblehead-irvine-ca-92620--2081051521,4 of 4
92620,Marblehead,50,Single Family,https://www.trulia.com/p/ca/irvine/116-marblehead-irvine-ca-92620--2081051588,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/1-new-dawn-irvine-ca-92620--2081054934,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/2-new-dawn-irvine-ca-92620--2081057438,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/3-new-dawn-irvine-ca-92620--2081059155,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/6-new-dawn-irvine-ca-92620--1058841050,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/7-new-dawn-irvine-ca-92620--2081064798,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/8-new-dawn-irvine-ca-92620--1059576227,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/9-new-dawn-irvine-ca-92620--2081066417,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/11-new-dawn-irvine-ca-92620--2081051837,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/15-new-dawn-irvine-ca-92620--2081053646,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/17-new-dawn-irvine-ca-92620--1005371683,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/19-new-dawn-irvine-ca-92620--2081054748,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/21-new-dawn-irvine-ca-92620--2081055596,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/22-new-dawn-irvine-ca-92620--2081055871,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/23-new-dawn-irvine-ca-92620--2081056132,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/24-new-dawn-irvine-ca-92620--2081056357,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/25-new-dawn-irvine-ca-92620--2081056558,4 of 4
92620,New Dawn,50,Single Family,https://www.trulia.com/p/ca/irvine/26-new-dawn-irvine-ca-92620--2081056760,4 of 4
