zip,street,units,type,url_addr
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/21-triana-irvine-ca-92618--1147803758
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/23-triana-irvine-ca-92618--2081043540
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/25-triana-irvine-ca-92618--2081043896
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/27-triana-irvine-ca-92618--2081044166
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/29-triana-irvine-ca-92618--2081044383
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/31-triana-irvine-ca-92618--2081044796
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/33-triana-irvine-ca-92618--2081045135
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/34-triana-irvine-ca-92618--2081045264
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/35-triana-irvine-ca-92618--1008396360
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/36-triana-irvine-ca-92618--2081045452
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/37-triana-irvine-ca-92618--1042404566
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/38-triana-irvine-ca-92618--2081045589
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/39-triana-irvine-ca-92618--1147803814
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/40-triana-irvine-ca-92618--2081045820
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/41-triana-irvine-ca-92618--2081045953
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/42-triana-irvine-ca-92618--1147803831
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/43-triana-irvine-ca-92618--2081046256
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/45-triana-irvine-ca-92618--2081046362
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/46-triana-irvine-ca-92618--2081046421
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/47-triana-irvine-ca-92618--2081046469
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/48-triana-irvine-ca-92618--1004329869
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/49-triana-irvine-ca-92618--2081046550
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/50-triana-irvine-ca-92618--1147803857
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/51-triana-irvine-ca-92618--2081046860
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/52-triana-irvine-ca-92618--1136947614
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/53-triana-irvine-ca-92618--2081047073
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/54-triana-irvine-ca-92618--2081047143
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/55-triana-irvine-ca-92618--1001649954
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/56-triana-irvine-ca-92618--2081047295
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/57-triana-irvine-ca-92618--1001653836
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/58-triana-irvine-ca-92618--2081047403
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/59-triana-irvine-ca-92618--2081047451
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/60-triana-irvine-ca-92618--2313676600
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/60-triana-irvine-ca-92618--2145416738
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/62-triana-irvine-ca-92618--1001521745
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/63-triana-irvine-ca-92618--2081047946
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/64-triana-irvine-ca-92618--2081048037
92618,Triana,38,Single Family,https://www.trulia.com/p/ca/irvine/65-triana-irvine-ca-92618--2081048117
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/1-preston-irvine-ca-92618--2081042359
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/2-preston-irvine-ca-92618--2081044439
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/3-preston-irvine-ca-92618--2145415489
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/3-preston-irvine-ca-92618--2313676309
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/5-preston-irvine-ca-92618--2081047515
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/6-preston-irvine-ca-92618--2081048375
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/7-preston-irvine-ca-92618--2081049146
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/8-preston-irvine-ca-92618--2081049838
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/9-preston-irvine-ca-92618--2081050486
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/10-preston-irvine-ca-92618--2081038713
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/11-preston-irvine-ca-92618--2081039104
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/12-preston-irvine-ca-92618--1002018273
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/14-preston-irvine-ca-92618--2081040617
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/15-preston-irvine-ca-92618--2081041041
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/16-preston-irvine-ca-92618--1001920642
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/17-preston-irvine-ca-92618--2081041705
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/18-preston-irvine-ca-92618--2081042090
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/19-preston-irvine-ca-92618--2081042304
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/20-preston-irvine-ca-92618--2081042653
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/21-preston-irvine-ca-92618--2081042931
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/22-preston-irvine-ca-92618--2081043279
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/23-preston-irvine-ca-92618--1042460996
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/24-preston-irvine-ca-92618--2081043720
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/25-preston-irvine-ca-92618--2081043876
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/26-preston-irvine-ca-92618--2081044031
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/27-preston-irvine-ca-92618--2081044147
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/28-preston-irvine-ca-92618--2081044263
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/29-preston-irvine-ca-92618--2081044367
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/30-preston-irvine-ca-92618--2081044618
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/31-preston-irvine-ca-92618--1001999783
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/32-preston-irvine-ca-92618--2081044962
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/33-preston-irvine-ca-92618--2081045120
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/34-preston-irvine-ca-92618--2081045247
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/35-preston-irvine-ca-92618--2081045343
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/36-preston-irvine-ca-92618--2081045437
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/37-preston-irvine-ca-92618--2081045493
92618,Preston,37,Single Family,https://www.trulia.com/p/ca/irvine/38-preston-irvine-ca-92618--2081045571
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/21-modena-irvine-ca-92618--2081042922
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/23-modena-irvine-ca-92618--2081043507
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/25-modena-irvine-ca-92618--2081043862
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/27-modena-irvine-ca-92618--2081044133
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/29-modena-irvine-ca-92618--2081044353
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/31-modena-irvine-ca-92618--2081044763
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/32-modena-irvine-ca-92618--2122854041
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/33-modena-irvine-ca-92618--2081045106
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/35-modena-irvine-ca-92618--2081045330
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/36-modena-irvine-ca-92618--2081045431
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/37-modena-irvine-ca-92618--2081045488
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/38-modena-irvine-ca-92618--2081045562
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/39-modena-irvine-ca-92618--2081045623
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/41-modena-irvine-ca-92618--2081045928
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/42-modena-irvine-ca-92618--2081046100
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/43-modena-irvine-ca-92618--2081046232
