zip,street,units,type,url_addr,file_no
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/36-silver-cres-irvine-ca-92603--2080997290,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/37-silver-cres-irvine-ca-92603--2080997343,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/38-silver-cres-irvine-ca-92603--2080997387,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/39-silver-cres-irvine-ca-92603--2080997435,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/40-silver-cres-irvine-ca-92603--2080997590,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/41-silver-cres-irvine-ca-92603--2080997648,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/42-silver-cres-irvine-ca-92603--2080997679,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/43-silver-cres-irvine-ca-92603--2080997718,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/44-silver-cres-irvine-ca-92603--2080997749,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/45-silver-cres-irvine-ca-92603--2080997785,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/46-silver-cres-irvine-ca-92603--2080997817,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/47-silver-cres-irvine-ca-92603--2080997851,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/48-silver-cres-irvine-ca-92603--2080997891,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/50-silver-cres-irvine-ca-92603--2080998161,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/52-silver-cres-irvine-ca-92603--2080998270,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/54-silver-cres-irvine-ca-92603--2080998412,1 of 4
92603,Silver Cres,51,Single Family,https://www.trulia.com/p/ca/irvine/56-silver-cres-irvine-ca-92603--2080998537,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4846-paseo-de-vega-irvine-ca-92603--2080997859,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4852-paseo-de-vega-irvine-ca-92603--2080997860,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4856-paseo-de-vega-irvine-ca-92603--1030058224,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4862-paseo-de-vega-irvine-ca-92603--2080997861,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4865-paseo-de-vega-irvine-ca-92603--2080997862,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4866-paseo-de-vega-irvine-ca-92603--2080997863,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4871-paseo-de-vega-irvine-ca-92603--2080997864,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4872-paseo-de-vega-irvine-ca-92603--2080997865,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4875-paseo-de-vega-irvine-ca-92603--2080997866,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4876-paseo-de-vega-irvine-ca-92603--2080997867,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4881-paseo-de-vega-irvine-ca-92603--2080997869,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4882-paseo-de-vega-irvine-ca-92603--2080997870,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4885-paseo-de-vega-irvine-ca-92603--2080997871,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4886-paseo-de-vega-irvine-ca-92603--2080997872,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4892-paseo-de-vega-irvine-ca-92603--2080997873,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4925-paseo-de-vega-irvine-ca-92603--2080997899,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4931-paseo-de-vega-irvine-ca-92603--2080997900,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4932-paseo-de-vega-irvine-ca-92603--1058405988,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4935-paseo-de-vega-irvine-ca-92603--2080997902,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4936-paseo-de-vega-irvine-ca-92603--1001995419,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4941-paseo-de-vega-irvine-ca-92603--2080997903,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4942-paseo-de-vega-irvine-ca-92603--2080997905,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4945-paseo-de-vega-irvine-ca-92603--2080997906,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4946-paseo-de-vega-irvine-ca-92603--2080997908,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4951-paseo-de-vega-irvine-ca-92603--1010448337,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4952-paseo-de-vega-irvine-ca-92603--2080997910,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4955-paseo-de-vega-irvine-ca-92603--2080997911,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4961-paseo-de-vega-irvine-ca-92603--1058416348,1 of 4
92603,Paseo De Vega,47,Single Family,https://www.trulia.com/p/ca/irvine/4962-paseo-de-vega-irvine-ca-92603--2080997916,1 of 4
